Sample,zooxAlignedReads,mcavAlignedReads,mcavReadRatio,zooxReadRatio,site,depthZone,depth
212,1156,232535,0.995053297,0.004946703,Upper Keys,Mesophotic,43.31
214,1770,347332,0.994929849,0.005070151,Upper Keys,Mesophotic,43.615
216,114,179818,0.999366427,0.000633573,Upper Keys,Mesophotic,44.225
217,2546,1004335,0.997471399,0.002528601,Upper Keys,Mesophotic,45.14
218,1137,532358,0.997868771,0.002131229,Upper Keys,Shallow,27.45
219,2790,1293107,0.997847051,0.002152949,Upper Keys,Shallow,27.45
220,3629,1447537,0.997499252,0.002500748,Upper Keys,Shallow,25.01
222,1277,278555,0.995436548,0.004563452,Upper Keys,Shallow,27.755
224,14573,1730011,0.991646719,0.008353281,Upper Keys,Shallow,25.925
225,13095,1682067,0.992275075,0.007724925,Upper Keys,Shallow,26.23
226,3254,723233,0.995520911,0.004479089,Upper Keys,Shallow,24.4
227,5419,1504710,0.996411565,0.003588435,Upper Keys,Shallow,25.925
228,5142,2174757,0.997641175,0.002358825,Upper Keys,Shallow,26.535
229,5563,1295854,0.995725429,0.004274571,Upper Keys,Shallow,25.925
230,7565,1592816,0.995273001,0.004726999,Upper Keys,Shallow,26.23
231,9529,1106802,0.991464001,0.008535999,Upper Keys,Shallow,26.23
232,8240,1180832,0.993070226,0.006929774,Upper Keys,Shallow,28.365
233,3583,1366757,0.99738532,0.00261468,Upper Keys,Shallow,27.45
234,17164,2524037,0.993245713,0.006754287,Upper Keys,Shallow,27.145
235,30655,4398459,0.993078751,0.006921249,Upper Keys,Shallow,26.84
236,15048,3662701,0.995908367,0.004091633,Upper Keys,Shallow,26.535
237,17595,3232894,0.994586968,0.005413032,Upper Keys,Shallow,26
