sample,pop,cluster1,cluster2,cluster3,cluster4
194,Upper Keys-Shallow,1.00E-09,0.82235203,0.143024752,0.034623217
195,Upper Keys-Shallow,1.00E-09,0.131585345,1.00E-09,0.868414653
196,Upper Keys-Shallow,5.37E-06,0.019379555,0.949403168,0.031211908
198,Upper Keys-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
199,Upper Keys-Shallow,1.00E-09,0.997908333,0.002091665,1.00E-09
200,Upper Keys-Shallow,0.049179131,0.618637364,0.332183504,0.000000001
201,Upper Keys-Mesophotic,0.000000001,0.360738181,0.181453384,0.457808434
202,Upper Keys-Mesophotic,1.00E-09,1.82E-05,0.999981781,1.00E-09
205,Upper Keys-Mesophotic,0.075567178,0.106262473,0.398310625,0.419859724
208,Upper Keys-Mesophotic,0.026055017,0.028670854,0.852506194,0.092767936
209,Upper Keys-Mesophotic,1.00E-09,1.00E-09,0.999999997,1.00E-09
211,Upper Keys-Mesophotic,1.00E-09,1.11E-05,0.6331967,0.366792229
212,Upper Keys-Mesophotic,1.00E-09,0.349400656,0.6292161,0.021383243
214,Upper Keys-Mesophotic,0.817000292,0.018199194,0.164793152,7.36E-06
216,Upper Keys-Mesophotic,0.174023859,0.000000001,0.15018777,0.67578837
217,Upper Keys-Mesophotic,1.00E-09,0.066529777,0.933470221,1.00E-09
218,Upper Keys-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
219,Upper Keys-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
220,Upper Keys-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
222,Upper Keys-Shallow,0.681552342,0.267054266,0.051393391,1.00E-09
224,Upper Keys-Shallow,0.000000001,0.029221793,0.970778205,0.000000001
225,Upper Keys-Shallow,1.00E-09,0.013516523,0.986483475,1.00E-09
226,Upper Keys-Shallow,1.00E-09,0.943906077,0.056093921,1.00E-09
227,Upper Keys-Shallow,1.00E-09,0.091143804,0.908855598,5.97E-07
228,Upper Keys-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
229,Upper Keys-Shallow,0.732941198,0.241806013,0.025252788,1.00E-09
230,Upper Keys-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
231,Upper Keys-Shallow,1.00E-09,0.999999746,2.52E-07,1.00E-09
232,Upper Keys-Shallow,0.709898134,0.266735335,0.023366531,1.00E-09
233,Upper Keys-Shallow,0.673706441,0.299288693,0.027004864,1.00E-09
234,Upper Keys-Shallow,1.00E-09,2.79E-09,0.999999995,1.00E-09
235,Upper Keys-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
236,Upper Keys-Shallow,1.40E-05,0.0465019,0.953484069,0.000000001
237,Upper Keys-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
