sample,pop,cluster1,cluster2,cluster3
188,Upper Keys-Mesophotic,6.04755E-06,0.041560992,0.958432961
189,Upper Keys-Mesophotic,1E-09,0.999999998,1E-09
190,Upper Keys-Mesophotic,0.048300979,0.091797397,0.859901624
191,Upper Keys-Mesophotic,9.77081E-06,0.040949678,0.959040551
192,Upper Keys-Mesophotic,0.000281999,0.028229199,0.971488801
193,Upper Keys-Mesophotic,0.045118326,0.000286035,0.954595639
194,Upper Keys-Shallow,1E-09,0.031659117,0.968340882
195,Upper Keys-Shallow,3.07365E-09,0.871848524,0.128151473
196,Upper Keys-Shallow,0.02219154,0.065488125,0.912320335
198,Upper Keys-Shallow,1E-09,1E-09,0.999999998
199,Upper Keys-Shallow,3.79614E-05,1.32812E-07,0.999961906
200,Upper Keys-Shallow,0.050760229,0.000000001,0.94923977
201,Upper Keys-Mesophotic,0.000000001,0.460008363,0.539991636
202,Upper Keys-Mesophotic,0.00037357,0.000471908,0.999154522
205,Upper Keys-Mesophotic,0.085050698,0.430234827,0.484714475
208,Upper Keys-Mesophotic,0.0341136,0.126155992,0.839730408
209,Upper Keys-Mesophotic,0.005199807,0.037850297,0.956949895
211,Upper Keys-Mesophotic,0.000000001,0.396326535,0.603673464
212,Upper Keys-Mesophotic,8.19558E-05,0.031907977,0.968010067
214,Upper Keys-Mesophotic,0.821955062,0.000428481,0.177616457
216,Upper Keys-Mesophotic,0.171265847,0.705639837,0.123094316
217,Upper Keys-Mesophotic,0.000335313,0.034020311,0.965644376
218,Upper Keys-Shallow,1E-09,1E-09,0.999999998
219,Upper Keys-Shallow,1E-09,1E-09,0.999999998
220,Upper Keys-Shallow,1E-09,1E-09,0.999999998
222,Upper Keys-Shallow,0.678902047,1E-09,0.321097952
224,Upper Keys-Shallow,0.021946189,0.031585812,0.946467999
225,Upper Keys-Shallow,0.018029371,1E-09,0.981970628
226,Upper Keys-Shallow,1E-09,1E-09,0.999999998
227,Upper Keys-Shallow,0.000000001,0.041179912,0.958820087
228,Upper Keys-Shallow,1E-09,1E-09,0.999999998
229,Upper Keys-Shallow,0.726910956,1E-09,0.273089043
230,Upper Keys-Shallow,1E-09,1E-09,0.999999998
231,Upper Keys-Shallow,1E-09,1E-09,0.999999998
232,Upper Keys-Shallow,0.705168703,1E-09,0.294831296
233,Upper Keys-Shallow,0.670421289,1E-09,0.32957871
234,Upper Keys-Shallow,0.031809272,0.014126287,0.954064441
235,Upper Keys-Shallow,1E-09,1E-09,0.999999998
236,Upper Keys-Shallow,0.035054396,0.009020822,0.955924782
237,Upper Keys-Shallow,1E-09,1E-09,0.999999998
