sample	sitesH	sitesA	sitesB	sitesC	sitesD	countH	countA	countB	countC	countD	fracZ	fracA	fracB	fracC	fracD
46.trim.bt2.sam	230	0	0	1754	1	4364	0	0	2260	1	0.34128	0	0	1	0
47.trim.bt2.sam	200	0	2	2178	3	2588	0	3	2708	3	0.51188	0	0.001	0.998	0.001
48.trim.bt2.sam	247	1	3	5653	2	4499	1	6	10021	9	0.69049	0	0.001	0.998	0.001
49.trim.bt2.sam	117	0	0	104	0	352	0	0	106	0	0.23144	0	0	1	0
5.trim.bt2.sam	277	0	2	6892	4	7095	0	6	14789	13	0.67607	0	0	0.999	0.001
50.trim.bt2.sam	281	0	2	3912	2	7053	0	2	5832	4	0.45287	0	0	0.999	0.001
52.trim.bt2.sam	234	1	0	3230	1	3802	1	0	4521	1	0.5433	0	0	1	0
53.trim.bt2.sam	192	0	0	3581	3	2275	0	0	4882	5	0.68235	0	0	0.999	0.001
54.trim.bt2.sam	237	0	2	3852	3	3227	0	4	5733	12	0.64049	0	0.001	0.997	0.002
55.trim.bt2.sam	208	0	1	2649	1	3784	0	1	3896	4	0.50761	0	0	0.999	0.001
56.trim.bt2.sam	209	0	0	3083	2	2893	0	0	4117	2	0.58742	0	0	1	0
6.trim.bt2.sam	225	0	2	2818	1	3294	0	2	3744	1	0.53217	0	0.001	0.999	0
60.trim.bt2.sam	295	0	1	3287	2	7381	0	1	4573	2	0.3827	0	0	0.999	0
61.trim.bt2.sam	239	0	4	3264	2	3597	0	4	4607	6	0.56209	0	0.001	0.998	0.001
62.trim.bt2.sam	235	1	1	2769	1	4635	2	1	3508	1	0.43108	0.001	0	0.999	0
63.trim.bt2.sam	234	0	0	2040	3	3686	0	0	2470	4	0.40162	0	0	0.998	0.002
64.trim.bt2.sam	266	2	3	7862	4	5328	3	15	19037	11	0.78159	0	0.001	0.998	0.001
65.trim.bt2.sam	150	0	0	400	0	654	0	0	421	0	0.39163	0	0	1	0
66.trim.bt2.sam	92	0	0	117	0	153	0	0	122	0	0.44364	0	0	1	0
67.trim.bt2.sam	282	0	5	1577	0	7755	0	5	1904	0	0.19754	0	0.003	0.997	0
68.trim.bt2.sam	193	0	3	3070	1	1850	0	3	4154	2	0.69213	0	0.001	0.999	0
69.trim.bt2.sam	221	0	0	469	0	3473	0	0	496	0	0.12497	0	0	1	0
7.trim.bt2.sam	257	0	1	3832	3	3941	0	1	5680	7	0.59072	0	0	0.999	0.001
70.trim.bt2.sam	299	0	1	5812	4	7475	0	2	11170	9	0.59932	0	0	0.999	0.001
71.trim.bt2.sam	288	1	1	4887	3	7732	1	1	8663	6	0.52862	0	0	0.999	0.001
72.trim.bt2.sam	169	0	1	240	0	1775	0	1	250	0	0.12389	0	0.004	0.996	0
73.trim.bt2.sam	212	0	1	1243	1	3684	0	1	1436	1	0.28075	0	0.001	0.999	0.001
74.trim.bt2.sam	140	0	2	959	0	756	0	2	1096	0	0.59223	0	0.002	0.998	0
75.trim.bt2.sam	283	0	3	5890	2	7111	0	3	11663	6	0.62141	0	0	0.999	0.001
76.trim.bt2.sam	218	0	2	1954	0	2856	0	2	2306	0	0.44694	0	0.001	0.999	0
77.trim.bt2.sam	272	4	2	4463	3	6976	5	2	8035	9	0.53577	0.001	0	0.998	0.001
78.trim.bt2.sam	270	0	2	4423	2	6039	0	4	7381	8	0.5504	0	0.001	0.998	0.001
79.trim.bt2.sam	256	0	0	1102	1	7565	0	0	1318	2	0.14856	0	0	0.998	0.002
8.trim.bt2.sam	193	0	3	453	0	3511	0	3	511	0	0.1277	0	0.006	0.994	0
80.trim.bt2.sam	263	0	5	4360	1	4742	0	6	6516	1	0.57905	0	0.001	0.999	0
82.trim.bt2.sam	228	0	1	2798	2	3689	0	1	3859	5	0.51165	0	0	0.998	0.001
84.trim.bt2.sam	220	0	2	6028	2	2590	0	2	13031	4	0.83426	0	0	1	0
85.trim.bt2.sam	325	1	3	10610	3	9167	1	21	53166	38	0.85308	0	0	0.999	0.001
86.trim.bt2.sam	216	3	1	3080	1	2279	3	1	4324	2	0.65517	0.001	0	0.999	0
87.trim.bt2.sam	93	0	0	262	1	360	0	0	288	1	0.4453	0	0	0.997	0.003
88.trim.bt2.sam	258	0	3	10542	5	4917	0	28	43090	33	0.89771	0	0.001	0.999	0.001
89.trim.bt2.sam	306	0	3	5572	2	9569	0	5	10228	9	0.51699	0	0	0.999	0.001
9-1.trim.bt2.sam	300	0	3	4531	1	8900	0	5	7488	2	0.45715	0	0.001	0.999	0
