sample,pop,Symbiodinium,Breviolum,Cladocopium,Durusdinium
151,Lower Keys-Shallow,0,0.000187032,0.998690773,0.001122195
152,Lower Keys-Shallow,0.000441501,0,0.999116998,0.000441501
153,Lower Keys-Shallow,0,0,0.991735537,0.008264463
154,Lower Keys-Shallow,0.00101833,0.000339443,0.99796334,0.000678887
155,Lower Keys-Shallow,0,0,1,0
156,Lower Keys-Shallow,0,0,0.997113164,0.002886836
157,Lower Keys-Mesophotic,0,0.000352653,0.999107995,0.000539352
158,Lower Keys-Mesophotic,8.30565E-05,0.000249169,0.999335548,0.000332226
159,Lower Keys-Mesophotic,0,0.000591322,0.996673812,0.002734866
160,Lower Keys-Mesophotic,0,0.000206455,0.999380635,0.00041291
161,Lower Keys-Mesophotic,0,0.000261609,0.999345978,0.000392413
162,Lower Keys-Mesophotic,0,0.0005743,0.998994975,0.000430725
163,Lower Keys-Mesophotic,0,0.001610306,0.998389694,0
164,Lower Keys-Mesophotic,0,0.000463278,0.998422884,0.001113838
165,Lower Keys-Mesophotic,7.56916E-05,0.000378458,0.998675396,0.000870454
166,Lower Keys-Mesophotic,0,0.00085096,0.998541211,0.000607829
167,Lower Keys-Mesophotic,0.000297089,0,0.999108734,0.000594177
168,Lower Keys-Mesophotic,0.000122911,0.000860374,0.998279253,0.000737463
169,Lower Keys-Mesophotic,0.000488759,0.000488759,0.997556207,0.001466276
170,Lower Keys-Shallow,0.029691877,0.000560224,0.969187675,0.000560224
171-1,Upper Keys-Mesophotic,0,0.00091687,0.998777506,0.000305623
172,Upper Keys-Mesophotic,0,0.00116234,0.998450213,0.000387447
173,Upper Keys-Mesophotic,0,0.002016129,0.997479839,0.000504032
174,Upper Keys-Mesophotic,0,0.000462321,0.998797966,0.000739713
175,Upper Keys-Mesophotic,0.000323834,0.000647668,0.998380829,0.000647668
176,Upper Keys-Mesophotic,0.000136696,0.000820176,0.998291299,0.000751828
177,Upper Keys-Mesophotic,0,0.002834467,0.996598639,0.000566893
178,Upper Keys-Mesophotic,0,0.000122145,0.998656406,0.001221449
179,Upper Keys-Shallow,0,0,0.997940268,0.002059732
180,Upper Keys-Shallow,5.16609E-05,0.001033218,0.998088547,0.000826574
181,Upper Keys-Shallow,0.000156169,0.00041645,0.998594482,0.0008329
182,Upper Keys-Shallow,0.000250156,0.001000625,0.998248906,0.000500313
183,Upper Keys-Shallow,0.000335233,0.000167616,0.998994301,0.000502849
184,Upper Keys-Shallow,4.94352E-05,0.000420199,0.998813555,0.00071681
185,Upper Keys-Shallow,0,0,1,0
186,Upper Keys-Shallow,0.000898473,0.001347709,0.997304582,0.000449236
187,Upper Keys-Mesophotic,0,0.000796654,0.998805019,0.000398327
188,Upper Keys-Mesophotic,0,0.000854739,0.998650412,0.000494849
189,Upper Keys-Mesophotic,0.000331301,0.000596342,0.998476014,0.000596342
190,Upper Keys-Mesophotic,0,0.000368732,0.999262537,0.000368732
191,Upper Keys-Mesophotic,0,0.000971899,0.998140714,0.000887386
192,Upper Keys-Mesophotic,0,0.000733975,0.998368945,0.00089708
193,Upper Keys-Mesophotic,0,0.001811594,0.996376812,0.001811594
194,Upper Keys-Shallow,0,0,1,0
195,Upper Keys-Shallow,0,0.000400802,0.999198397,0.000400802
196,Upper Keys-Shallow,0,0,0.999165043,0.000834957
198,Upper Keys-Shallow,0,0.000443984,0.998668048,0.000887968
199,Upper Keys-Shallow,0,0,1,0
200,Upper Keys-Shallow,0,0,1,0
201,Upper Keys-Mesophotic,0,0.012195122,0.987804878,0
202,Upper Keys-Mesophotic,0,0.000799201,0.998501499,0.000699301
205,Upper Keys-Mesophotic,0,0,1,0
208,Upper Keys-Mesophotic,0,0,1,0
209,Upper Keys-Mesophotic,0,0,1,0
211,Upper Keys-Mesophotic,0.002906977,0,0.997093023,0
212,Upper Keys-Mesophotic,0,0,1,0
214,Upper Keys-Mesophotic,0,0,1,0
216,Upper Keys-Mesophotic,0,0,1,0
217,Upper Keys-Mesophotic,0.000793021,0,0.998413957,0.000793021
218,Upper Keys-Shallow,0,0,0.998233216,0.001766784
219,Upper Keys-Shallow,0,0,0.999220577,0.000779423
220,Upper Keys-Shallow,0,0.001121705,0.998878295,0
222,Upper Keys-Shallow,0,0.03826087,0.95826087,0.003478261
224,Upper Keys-Shallow,0,0.000137552,0.999587345,0.000275103
225,Upper Keys-Shallow,0,0.000881834,0.998383304,0.000734862
226,Upper Keys-Shallow,0,0.000606061,0.998787879,0.000606061
227,Upper Keys-Shallow,0,0.000752445,0.998871332,0.000376223
228,Upper Keys-Shallow,0,0.00037594,0.99962406,0
229,Upper Keys-Shallow,0,0,1,0
230,Upper Keys-Shallow,0,0.000759878,0.997973658,0.001266464
231,Upper Keys-Shallow,0,0.00081984,0.99856528,0.00061488
232,Upper Keys-Shallow,0.000240964,0.000963855,0.998313253,0.000481928
233,Upper Keys-Shallow,0,0,0.998293515,0.001706485
234,Upper Keys-Shallow,0,0.00335687,0.995948605,0.000694525
235,Upper Keys-Shallow,0,0.000652614,0.998629511,0.000717875
236,Upper Keys-Shallow,0,0.000662778,0.998939555,0.000397667
237,Upper Keys-Shallow,0,0.000449843,0.998875394,0.000674764
,,,,,
,,,,,
,,,,,
