sample,pop,cluster1,cluster2,cluster3,cluster4
135,Lower Keys-Shallow,1.00E-09,1.00E-09,0.999999997,1.00E-09
136,Lower Keys-Shallow,1.00E-09,1.00E-09,0.999999997,1.00E-09
137,Lower Keys-Shallow,1.00E-09,1.00E-09,0.999999997,1.00E-09
138,Lower Keys-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
139,Lower Keys-Shallow,1.00E-09,0.962888075,0.037111923,1.00E-09
140,Lower Keys-Shallow,1.00E-09,1.00E-09,0.999999997,1.00E-09
141,Lower Keys-Shallow,0.000000001,0.155916207,0.707193937,0.136889855
142,Lower Keys-Shallow,0.000000001,0.064926834,0.935073164,0.000000001
143,Lower Keys-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
144,Lower Keys-Shallow,1.00E-09,1.00E-09,0.999999997,1.00E-09
145,Lower Keys-Shallow,0.101940104,0.000288741,0.012170184,0.885600972
146,Lower Keys-Shallow,1.00E-09,0.881351265,0.118648733,1.00E-09
147,Lower Keys-Shallow,0.007829645,1.00E-09,0.076063999,0.916106355
148,Lower Keys-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
149,Lower Keys-Shallow,1.00E-09,1.00E-09,0.999999997,1.00E-09
150,Lower Keys-Shallow,1.00E-09,1.00E-09,0.999999997,1.00E-09
151,Lower Keys-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
152,Lower Keys-Shallow,1.00E-09,1.00E-09,0.999999997,1.00E-09
153,Lower Keys-Shallow,0.058290033,0.064746382,0.680600304,0.196363281
154,Lower Keys-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
155,Lower Keys-Shallow,1.00E-09,3.31E-06,0.999996684,1.00E-09
156,Lower Keys-Shallow,0.861798942,1.00E-09,1.00E-09,0.138201056
157,Lower Keys-Mesophotic,0.193380864,0.722092702,1.00E-09,0.084526433
158,Lower Keys-Mesophotic,0.001505702,1.00E-09,1.00E-09,0.998494296
159,Lower Keys-Mesophotic,0.020342351,1.00E-09,1.00E-09,0.979657647
160,Lower Keys-Mesophotic,0.000185621,1.00E-09,1.00E-09,0.999814377
161,Lower Keys-Mesophotic,0.006781913,1.00E-09,1.00E-09,0.993218085
162,Lower Keys-Mesophotic,0.026228567,0.001395717,1.00E-09,0.972375715
163,Lower Keys-Mesophotic,0.184347159,0.024280742,0.0793199,0.712052199
164,Lower Keys-Mesophotic,1.00E-09,1.00E-09,1.00E-09,0.999999997
165,Lower Keys-Mesophotic,1.00E-09,0.999999997,1.00E-09,1.00E-09
166,Lower Keys-Mesophotic,0.056497474,1.00E-09,1.00E-09,0.943502524
167,Lower Keys-Mesophotic,0.257872289,0.741226021,1.00E-09,0.000901688
168,Lower Keys-Mesophotic,0.051051086,1.00E-09,1.00E-09,0.948948912
169,Lower Keys-Mesophotic,0.999999997,1.00E-09,1.00E-09,1.00E-09
170,Lower Keys-Shallow,1.00E-09,1.00E-09,0.999999997,1.00E-09
171,Upper Keys-Mesophotic,0.999999997,1.00E-09,1.00E-09,1.00E-09
172,Upper Keys-Mesophotic,0.999999997,1.00E-09,1.00E-09,1.00E-09
173,Upper Keys-Mesophotic,0.069216748,4.91E-05,0.020127469,0.910606705
174,Upper Keys-Mesophotic,0.083651736,1.00E-09,1.00E-09,0.916348262
175,Upper Keys-Mesophotic,0.999999997,1.00E-09,1.00E-09,1.00E-09
176,Upper Keys-Mesophotic,0.999999997,1.00E-09,1.00E-09,1.00E-09
177,Upper Keys-Mesophotic,0.087041262,1.00E-09,1.00E-09,0.912958736
178,Upper Keys-Mesophotic,1.00E-09,1.00E-09,0.999999997,1.00E-09
179,Upper Keys-Shallow,0.097592505,0.019114066,1.00E-09,0.883293428
180,Upper Keys-Shallow,0.999999997,1.00E-09,1.00E-09,1.00E-09
181,Upper Keys-Shallow,0.023637386,3.49E-09,0.000135871,0.976226739
182,Upper Keys-Shallow,0.066772859,1.00E-09,1.00E-09,0.933227139
183,Upper Keys-Shallow,0.999999997,1.00E-09,1.00E-09,1.00E-09
184,Upper Keys-Shallow,1.00E-09,1.00E-09,0.999999997,1.00E-09
185,Upper Keys-Shallow,0.999999997,1.00E-09,1.00E-09,1.00E-09
186,Upper Keys-Shallow,0.03963227,1.00E-09,1.00E-09,0.960367728
187,Upper Keys-Mesophotic,0.03589793,0.006305375,0.016308664,0.941488031
188,Upper Keys-Mesophotic,0.046859953,1.00E-09,1.00E-09,0.953140045
189,Upper Keys-Mesophotic,1.00E-09,1.00E-09,0.999999997,1.00E-09
190,Upper Keys-Mesophotic,0.054120091,0.016767888,0.069845665,0.859266356
191,Upper Keys-Mesophotic,0.081174922,1.00E-09,1.00E-09,0.918825076
192,Upper Keys-Mesophotic,1.00E-09,1.00E-09,1.00E-09,0.999999997
193,Upper Keys-Mesophotic,0.011370121,2.24E-08,1.00E-09,0.988629855
194,Upper Keys-Shallow,0.822244966,1.00E-09,0.034457669,0.143297365
195,Upper Keys-Shallow,0.132506095,1.00E-09,0.867493903,1.00E-09
196,Upper Keys-Shallow,0.020332428,8.46E-07,0.03206924,0.947597487
198,Upper Keys-Shallow,0.999999997,1.00E-09,1.00E-09,1.00E-09
199,Upper Keys-Shallow,0.997838452,1.00E-09,1.00E-09,0.002161546
200,Upper Keys-Shallow,0.625539773,0.0499236,0.000000001,0.324536626
201,Upper Keys-Mesophotic,0.360237368,0.000000001,0.457578413,0.182184218
202,Upper Keys-Mesophotic,4.66E-06,1.00E-09,1.00E-09,0.999995334
205,Upper Keys-Mesophotic,0.117414852,0.078550518,0.419463103,0.384571528
208,Upper Keys-Mesophotic,0.026488237,0.027315892,0.093880826,0.852315045
